                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.6604,                0.84339,                 1.1625,                0.88882,                0.86042,                0.90913,                0.49354,                 1.5567,                0.76938,                 1.1385,              0.0098548,              0.0098548,              0.0098548
                     46,                  1.657,                0.84503,                 1.1475,                0.89223,                 0.8425,                0.90469,                0.48505,                 1.5696,                0.76186,                 1.1402,              0.0098515,              0.0098515,              0.0098515
                     47,                  1.645,                0.84965,                 1.1497,                0.90123,                0.85575,                0.91515,                0.48166,                 1.5702,                0.79054,                 1.1285,              0.0098482,              0.0098482,              0.0098482
                     48,                 1.6244,                0.83251,                 1.1446,                0.90173,                0.85239,                0.90955,                0.49515,                 1.5691,                0.74383,                 1.1357,              0.0098449,              0.0098449,              0.0098449
                     49,                 1.6399,                 0.8391,                 1.1518,                0.89974,                  0.853,                0.91564,                0.49162,                 1.5644,                0.74663,                 1.1299,              0.0098416,              0.0098416,              0.0098416
                     50,                 1.6468,                0.83909,                 1.1584,                0.89788,                 0.8726,                 0.9216,                0.50034,                 1.5423,                0.75351,                  1.126,              0.0098383,              0.0098383,              0.0098383
                     51,                 1.6499,                0.84555,                 1.1508,                0.90823,                0.85211,                0.91473,                0.49915,                 1.5589,                  0.745,                 1.1264,               0.009835,               0.009835,               0.009835
                     52,                 1.6443,                0.84669,                 1.1556,                0.89397,                 0.8556,                 0.9132,                0.47855,                 1.5659,                 0.7842,                 1.1341,              0.0098317,              0.0098317,              0.0098317
                     53,                 1.6377,                0.83152,                 1.1426,                0.91108,                0.87653,                0.92823,                0.50628,                 1.5336,                0.74276,                 1.1126,              0.0098284,              0.0098284,              0.0098284
                     54,                 1.6369,                0.82563,                 1.1413,                0.88859,                0.87699,                0.91728,                0.49758,                 1.5451,                0.75309,                 1.1212,              0.0098251,              0.0098251,              0.0098251
                     55,                 1.6379,                0.82495,                 1.1458,                0.91136,                0.86525,                0.91746,                0.49849,                 1.5562,                0.73218,                 1.1261,              0.0098218,              0.0098218,              0.0098218
                     56,                 1.6173,                0.82101,                 1.1432,                0.90793,                 0.8563,                0.92078,                0.50893,                 1.5305,                0.73136,                  1.112,              0.0098185,              0.0098185,              0.0098185
                     57,                 1.6428,                0.82627,                 1.1451,                0.90625,                0.85547,                0.91942,                0.50575,                 1.5314,                0.73951,                   1.12,              0.0098152,              0.0098152,              0.0098152
                     58,                 1.6194,                0.81826,                  1.139,                0.89319,                0.86731,                0.91626,                0.50493,                 1.5381,                 0.7384,                 1.1214,              0.0098119,              0.0098119,              0.0098119
                     59,                 1.6287,                0.81785,                  1.153,                0.91378,                0.86218,                0.92283,                0.50387,                 1.5346,                0.74307,                 1.1147,              0.0098086,              0.0098086,              0.0098086
                     60,                 1.6272,                0.82218,                 1.1444,                0.89952,                0.87593,                0.92105,                0.50711,                 1.5241,                0.72783,                 1.1124,              0.0098053,              0.0098053,              0.0098053
                     61,                 1.6333,                0.81367,                 1.1413,                0.89047,                 0.8705,                0.91535,                0.50465,                 1.5271,                0.76653,                 1.1084,               0.009802,               0.009802,               0.009802
                     62,                 1.6126,                 0.8068,                 1.1324,                0.90908,                0.87207,                0.92663,                0.51799,                 1.5217,                0.71256,                 1.1095,              0.0097987,              0.0097987,              0.0097987
                     63,                 1.6278,                0.81611,                  1.145,                0.91107,                0.85686,                0.91951,                 0.5007,                 1.5319,                0.73286,                 1.1214,              0.0097954,              0.0097954,              0.0097954
